epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,139.119,1.0895,1.79657,1.27897,0.81605,0.67875,0.7493,0.50878,1.07422,1.31833,1.41986,0.000416139,0.000416139,0.000416139
2,272.18,1.1019,1.1921,1.27619,0.79654,0.74702,0.81274,0.55765,1.12061,1.02575,1.46735,0.000777841,0.000777841,0.000777841
3,405.991,1.06539,1.06251,1.24533,0.77024,0.772,0.83993,0.60549,0.98672,1.0383,1.32552,0.00108454,0.00108454,0.00108454
4,537.619,1.02368,0.95984,1.22803,0.86013,0.82752,0.89629,0.66771,0.92276,0.75117,1.26207,0.0010025,0.0010025,0.0010025
5,669.258,0.9979,0.88541,1.20788,0.85098,0.85453,0.90654,0.66125,0.96844,0.744,1.31432,0.00092,0.00092,0.00092
6,817.506,0.92712,0.76008,1.1798,0.89239,0.83843,0.91531,0.69066,0.88565,0.66878,1.23073,0.0008375,0.0008375,0.0008375
7,945.946,0.89479,0.69173,1.15775,0.9025,0.87858,0.92992,0.71389,0.85605,0.62265,1.2049,0.000755,0.000755,0.000755
8,1074.09,0.86146,0.64941,1.13381,0.89091,0.8834,0.94211,0.73372,0.82523,0.59265,1.17986,0.0006725,0.0006725,0.0006725
9,1202.59,0.8373,0.59465,1.11372,0.91507,0.90313,0.9474,0.73552,0.8021,0.54311,1.16496,0.00059,0.00059,0.00059
10,1331.13,0.80618,0.56108,1.09738,0.93762,0.89521,0.94898,0.75286,0.80156,0.50908,1.13791,0.0005075,0.0005075,0.0005075
11,1459.1,0.78463,0.52299,1.07521,0.94777,0.88718,0.9508,0.75839,0.7858,0.49924,1.15091,0.000425,0.000425,0.000425
12,1587.05,0.7599,0.49719,1.06387,0.93613,0.91718,0.95185,0.76002,0.789,0.47463,1.16256,0.0003425,0.0003425,0.0003425
13,1715.1,0.7431,0.45782,1.05596,0.92097,0.93374,0.95552,0.77088,0.77305,0.45568,1.14016,0.00026,0.00026,0.00026
14,1843.22,0.71991,0.43017,1.04422,0.94676,0.91491,0.95821,0.7713,0.77394,0.43161,1.13265,0.0001775,0.0001775,0.0001775
15,1970.55,0.69992,0.41073,1.0292,0.92969,0.93288,0.95881,0.78542,0.75151,0.42505,1.12395,9.5e-05,9.5e-05,9.5e-05
