epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,142.812,1.0895,1.79657,1.27897,0.81605,0.67875,0.7493,0.50878,1.07422,1.31833,1.41986,0.000416139,0.000416139,0.000416139
2,276.344,1.09925,1.18739,1.27197,0.8319,0.75863,0.83665,0.5833,1.06791,0.97403,1.40499,0.000791582,0.000791582,0.000791582
3,406.711,1.06518,1.05314,1.2488,0.85506,0.77911,0.85564,0.6311,0.98589,0.93283,1.31655,0.00112577,0.00112577,0.00112577
4,539.7,1.03485,0.97914,1.23465,0.84921,0.84909,0.89417,0.66575,0.92452,0.74415,1.26694,0.00106437,0.00106437,0.00106437
5,669.191,1.00507,0.91033,1.21394,0.91037,0.85051,0.91829,0.67846,0.93279,0.72404,1.262,0.0010025,0.0010025,0.0010025
6,799.326,0.98025,0.85993,1.2013,0.87481,0.87011,0.92429,0.68908,0.90864,0.6902,1.23179,0.000940625,0.000940625,0.000940625
