epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,124.129,1.07536,1.79105,1.27085,0.61818,0.71263,0.72589,0.50342,1.06358,1.30945,1.44379,0.000415964,0.000415964,0.000415964
2,243.875,1.08753,1.12815,1.25227,0.82733,0.7308,0.84043,0.60634,1.05181,0.98915,1.34071,0.000777677,0.000777677,0.000777677
3,361.855,1.0817,1.04836,1.25779,0.8475,0.82862,0.86737,0.62687,1.01288,0.8769,1.30419,0.00108439,0.00108439,0.00108439
4,478.963,1.03848,0.95571,1.22455,0.85281,0.80103,0.89665,0.67318,0.92778,0.76375,1.23227,0.0010025,0.0010025,0.0010025
5,597.111,0.96998,0.86415,1.18844,0.86776,0.84788,0.91295,0.68846,0.88487,0.72263,1.20383,0.00092,0.00092,0.00092
6,723.89,0.92066,0.74768,1.174,0.92689,0.83997,0.9216,0.69755,0.89678,0.67602,1.21222,0.0008375,0.0008375,0.0008375
7,841.245,0.8763,0.67689,1.13646,0.91888,0.85292,0.92198,0.70505,0.88676,0.63142,1.21101,0.000755,0.000755,0.000755
8,958.609,0.8636,0.64987,1.12414,0.89603,0.91119,0.94767,0.74033,0.82921,0.56801,1.1648,0.0006725,0.0006725,0.0006725
9,1076.25,0.83489,0.60348,1.10468,0.91935,0.92028,0.95312,0.74082,0.82896,0.52969,1.14587,0.00059,0.00059,0.00059
10,1193.83,0.80875,0.56351,1.09389,0.91504,0.89292,0.94799,0.75259,0.80234,0.53254,1.14076,0.0005075,0.0005075,0.0005075
11,1311.36,0.78629,0.52825,1.07962,0.943,0.89653,0.96073,0.76754,0.7909,0.47563,1.13212,0.000425,0.000425,0.000425
12,1428.54,0.75727,0.4804,1.05785,0.93953,0.92364,0.96145,0.7739,0.7735,0.46958,1.12171,0.0003425,0.0003425,0.0003425
13,1546.25,0.74271,0.45576,1.05238,0.9512,0.91729,0.96259,0.77923,0.76875,0.44816,1.11874,0.00026,0.00026,0.00026
14,1664.15,0.71777,0.43297,1.03522,0.94199,0.93589,0.96478,0.78535,0.74949,0.41693,1.10423,0.0001775,0.0001775,0.0001775
15,1781.53,0.69519,0.40088,1.01973,0.95148,0.92824,0.96747,0.79432,0.72862,0.4061,1.09063,9.5e-05,9.5e-05,9.5e-05
